MET,Acc(HI),Acc/Baro(LO),Baro(HI),State
0.000,511,192,780,192
0.020,564,12,779,0
0.040,584,12,779,0
0.060,592,76,779,0
0.080,583,204,779,0
0.100,582,140,779,0
0.120,580,0,780,0
0.140,579,76,779,0
0.160,579,136,782,0
0.180,578,0,780,0
0.200,579,12,779,0
0.220,577,204,779,0
0.240,577,12,779,0
0.260,578,140,779,0
0.280,577,200,778,0
0.300,577,12,779,0
0.320,585,12,779,1
0.340,582,204,779,1
0.360,580,140,779,1
0.380,582,12,779,1
0.400,583,204,779,1
0.420,580,204,779,1
0.440,579,140,779,1
0.460,582,200,778,1
0.480,582,64,780,1
0.500,581,76,779,1
0.520,580,136,778,1
0.540,579,72,778,1
0.560,579,72,778,2
0.580,580,68,777,2
0.600,580,136,778,2
0.620,579,8,778,2
0.640,578,136,778,2
0.660,577,196,777,2
0.680,579,4,777,2
0.700,578,196,777,2
0.720,577,132,777,2
0.740,577,132,777,2
0.760,577,68,777,2
0.780,576,4,777,2
0.800,576,196,777,2
0.820,576,192,776,2
0.840,575,0,776,2
0.860,576,0,776,2
0.880,576,192,776,2
0.900,577,128,776,2
0.920,577,64,776,2
0.940,576,204,775,2
0.960,577,140,775,2
0.980,576,76,775,2
1.000,576,76,775,2
1.020,577,76,775,2
1.040,576,12,775,2
1.060,576,12,775,2
1.080,577,8,774,2
1.100,577,200,774,2
1.120,575,8,774,2
1.140,575,8,774,2
1.160,575,72,774,2
1.180,575,68,773,2
1.200,576,4,773,2
1.220,575,68,773,2
1.240,576,0,772,2
1.260,576,0,772,2
1.280,576,64,772,2
1.300,577,0,772,2
1.320,575,12,771,2
1.340,575,76,771,2
1.360,575,76,771,2
1.380,576,204,771,2
1.400,575,204,771,2
1.420,576,200,770,2
1.440,577,200,770,2
1.460,577,8,770,2
1.480,575,200,770,2
1.500,577,4,769,2
1.520,576,4,769,2
1.540,577,4,769,2
1.560,576,64,768,2
1.580,576,192,768,2
1.600,577,192,768,2
1.620,577,192,768,2
1.640,578,12,767,2
1.660,577,204,767,2
1.680,577,12,767,2
1.700,576,72,766,2
1.720,576,72,766,2
1.740,578,200,766,2
1.760,578,68,765,2
1.780,577,4,765,2
1.800,578,68,765,2
1.820,579,0,764,2
1.840,577,0,764,2
1.860,579,64,764,2
1.880,579,76,763,2
1.900,578,140,763,2
1.920,577,76,763,2
1.940,578,72,762,2
1.960,578,8,762,2
1.980,578,4,761,2
2.000,576,132,761,2
2.020,577,128,760,2
2.040,577,64,760,2
2.060,579,128,760,2
2.080,577,204,759,2
2.100,578,76,759,2
2.120,577,204,759,2
2.140,577,200,758,2
2.160,576,136,758,2
2.180,576,72,758,2
2.200,576,128,756,2
2.220,577,128,756,2
2.240,577,140,755,2
2.260,576,12,755,2
2.280,576,76,755,2
2.300,578,72,754,2
2.320,576,200,754,2
2.340,578,68,753,2
2.360,577,132,753,2
2.380,577,64,752,2
2.400,577,64,752,2
2.420,576,0,752,2
2.440,576,0,752,2
2.460,576,12,751,2
2.480,576,72,750,2
2.500,576,72,750,2
2.520,577,4,749,2
2.540,575,4,749,2
2.560,575,128,748,2
2.580,576,0,748,2
2.600,576,140,747,2
2.620,575,76,747,2
2.640,576,72,746,2
2.660,576,72,746,2
2.680,577,8,746,2
2.700,576,4,745,2
2.720,577,4,745,2
2.740,575,0,744,2
2.760,576,0,744,2
2.780,576,76,743,2
2.800,575,204,743,2
2.820,574,200,742,2
2.840,575,4,741,2
2.860,575,4,741,2
2.880,575,192,740,2
2.900,574,0,740,2
2.920,575,12,739,2
2.940,574,76,739,2
2.960,576,12,739,2
2.980,573,72,738,2
3.000,572,196,737,2
3.020,575,4,737,2
3.040,572,0,736,2
3.060,574,192,736,2
3.080,575,140,735,2
3.100,575,200,734,2
3.120,573,200,734,2
3.140,573,196,733,2
3.160,573,132,733,2
3.180,572,192,732,2
3.200,571,128,732,2
3.220,572,12,731,2
3.240,571,76,731,2
3.260,572,8,730,2
3.280,569,196,729,2
3.300,571,4,729,2
3.320,572,128,728,2
3.340,572,192,728,2
3.360,570,204,727,2
3.380,570,76,727,2
3.400,571,72,726,2
3.420,569,72,726,2
3.440,569,4,725,2
3.460,569,192,724,2
3.480,571,0,724,2
3.500,570,204,723,2
3.520,568,12,723,2
3.540,568,72,722,2
3.560,567,196,721,2
3.580,567,4,721,2
3.600,566,0,720,2
3.620,568,128,720,2
3.640,568,140,719,2
3.660,569,204,719,2
3.680,567,72,718,2
3.700,566,72,718,2
3.720,565,68,717,2
3.740,569,192,716,2
3.760,568,128,716,2
3.780,566,12,715,2
3.800,568,8,714,2
3.820,566,200,714,2
3.840,567,200,714,2
3.860,564,132,713,2
3.880,564,4,713,2
3.900,565,4,713,2
3.920,564,64,712,2
3.940,566,192,712,2
3.960,567,140,711,2
3.980,568,76,711,2
4.000,562,76,711,2
4.020,566,8,710,2
4.040,566,140,711,2
4.060,561,8,710,2
4.080,566,136,710,2
4.100,556,200,710,2
4.120,561,4,709,2
4.140,565,0,708,2
4.160,559,72,706,2
4.180,559,0,704,2
4.200,561,128,704,2
4.220,563,200,702,2
4.240,556,4,701,2
4.260,560,128,700,2
