# [0]SEQN, [1]Timestamp, [2]Fix_Mode, [3]Num_SV, [4]GPS_Week, [5]TOW, [6]Latitude, [7]Longitude, [8]Ellipsoid_Altitude, [9]MSL_Altitude, [10]GDOP, [11]PDOP, [12]HDOP, [13]VDOP, [14]TDOP, [15]ECEF_X, [16]ECEF_Y, [17]ECEF_Z, [18]ECEF_VX, [19]ECEF_VY, [20]ECEF_VZ
90505,117849109525885,3,8,1854,65827.04,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90508,117849159022682,3,8,1854,65827.09,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90511,117849209110965,3,8,1854,65827.14,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90514,117849259045597,3,8,1854,65827.19,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90517,117849308936927,3,8,1854,65827.24,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90520,117849358513553,3,8,1854,65827.29,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90523,117849408678661,3,8,1854,65827.34,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90526,117849458234684,3,8,1854,65827.39,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90529,117849513776663,3,8,1854,65827.44,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90532,117849563420476,3,8,1854,65827.49,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90535,117849613231559,3,8,1854,65827.54,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90538,117849663214661,3,8,1854,65827.59,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90541,117849712962328,3,8,1854,65827.64,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
90544,117849762267341,3,8,1854,65827.69,43.7961328,-120.6517534,1370.16,1389.36,1.0,0.69,1.41,0.37,1.45,-2351371.24,-3967767.58,4392717.64,0.0,0.0,0.0
