#CalDate[0], Epoch[1], GeigerHits[2]
2015-07-19 18:00:02,1437328802,1
2015-07-19 18:00:03,1437328803,2
2015-07-19 18:00:04,1437328804,1
2015-07-19 18:00:07,1437328807,2
2015-07-19 18:00:09,1437328809,1
2015-07-19 18:00:10,1437328810,1
2015-07-19 18:00:15,1437328815,1
2015-07-19 18:00:16,1437328816,1
2015-07-19 18:00:22,1437328822,1
2015-07-19 18:00:31,1437328831,1
2015-07-19 18:00:35,1437328835,1
2015-07-19 18:00:36,1437328836,1
2015-07-19 18:00:47,1437328847,1
2015-07-19 18:00:48,1437328848,1
2015-07-19 18:00:50,1437328850,1
2015-07-19 18:00:53,1437328853,1
2015-07-19 18:01:02,1437328862,1
2015-07-19 18:01:08,1437328868,1
2015-07-19 18:01:12,1437328872,1
2015-07-19 18:01:15,1437328875,1
2015-07-19 18:01:26,1437328886,2
2015-07-19 18:01:32,1437328892,1
2015-07-19 18:01:42,1437328902,2
2015-07-19 18:01:44,1437328904,1
2015-07-19 18:01:48,1437328908,1
2015-07-19 18:01:49,1437328909,1
2015-07-19 18:01:50,1437328910,1
2015-07-19 18:01:57,1437328917,1
2015-07-19 18:01:59,1437328919,1
2015-07-19 18:02:00,1437328920,1
2015-07-19 18:02:12,1437328932,1
2015-07-19 18:02:16,1437328936,1
2015-07-19 18:02:32,1437328952,1
2015-07-19 18:02:37,1437328957,1
2015-07-19 18:02:42,1437328962,1
2015-07-19 18:02:44,1437328964,1
2015-07-19 18:02:51,1437328971,1
2015-07-19 18:02:56,1437328976,1
2015-07-19 18:02:57,1437328977,2
2015-07-19 18:02:59,1437328979,2
2015-07-19 18:03:08,1437328988,3
2015-07-19 18:03:09,1437328989,1
2015-07-19 18:03:11,1437328991,1
2015-07-19 18:03:21,1437329001,1
2015-07-19 18:03:22,1437329002,1
2015-07-19 18:03:23,1437329003,1
2015-07-19 18:03:24,1437329004,1
2015-07-19 18:03:32,1437329012,1
2015-07-19 18:03:33,1437329013,1
2015-07-19 18:03:42,1437329022,1
2015-07-19 18:03:58,1437329038,1
2015-07-19 18:04:00,1437329040,1
2015-07-19 18:04:01,1437329041,1
2015-07-19 18:04:02,1437329042,2
2015-07-19 18:04:06,1437329046,1
2015-07-19 18:04:08,1437329048,1
2015-07-19 18:04:09,1437329049,1
2015-07-19 18:04:25,1437329065,1
2015-07-19 18:04:29,1437329069,1
2015-07-19 18:04:34,1437329074,2
2015-07-19 18:04:42,1437329082,1
2015-07-19 18:04:50,1437329090,1
2015-07-19 18:04:59,1437329099,1
2015-07-19 18:05:08,1437329108,2
2015-07-19 18:05:10,1437329110,2
2015-07-19 18:05:15,1437329115,1
2015-07-19 18:05:22,1437329122,1
2015-07-19 18:05:36,1437329136,1
2015-07-19 18:05:37,1437329137,1
2015-07-19 18:05:44,1437329144,1
2015-07-19 18:05:51,1437329151,1
2015-07-19 18:05:58,1437329158,2
2015-07-19 18:06:01,1437329161,1
2015-07-19 18:06:05,1437329165,1
2015-07-19 18:06:06,1437329166,1
2015-07-19 18:06:14,1437329174,1
2015-07-19 18:06:24,1437329184,1
2015-07-19 18:06:29,1437329189,1
2015-07-19 18:06:34,1437329194,1
2015-07-19 18:06:38,1437329198,3
2015-07-19 18:06:43,1437329203,1
2015-07-19 18:06:46,1437329206,1
2015-07-19 18:06:47,1437329207,1
2015-07-19 18:06:52,1437329212,1
2015-07-19 18:06:53,1437329213,1
2015-07-19 18:06:56,1437329216,1
2015-07-19 18:06:58,1437329218,1
2015-07-19 18:06:59,1437329219,1
2015-07-19 18:07:00,1437329220,1
2015-07-19 18:07:04,1437329224,1
2015-07-19 18:07:06,1437329226,1
2015-07-19 18:07:12,1437329232,2
2015-07-19 18:07:18,1437329238,1
2015-07-19 18:07:19,1437329239,1
2015-07-19 18:07:25,1437329245,2
2015-07-19 18:07:32,1437329252,1
2015-07-19 18:07:33,1437329253,2
2015-07-19 18:07:34,1437329254,1
2015-07-19 18:07:37,1437329257,2
2015-07-19 18:07:44,1437329264,1
2015-07-19 18:07:55,1437329275,2
2015-07-19 18:07:58,1437329278,1
2015-07-19 18:08:00,1437329280,2
2015-07-19 18:08:02,1437329282,1
2015-07-19 18:08:03,1437329283,1
2015-07-19 18:08:13,1437329293,1
2015-07-19 18:08:17,1437329297,1
2015-07-19 18:08:20,1437329300,2
2015-07-19 18:08:22,1437329302,1
2015-07-19 18:08:29,1437329309,1
2015-07-19 18:08:32,1437329312,1
2015-07-19 18:08:48,1437329328,1
2015-07-19 18:08:50,1437329330,1
2015-07-19 18:08:55,1437329335,1
2015-07-19 18:08:56,1437329336,1
2015-07-19 18:08:58,1437329338,2
2015-07-19 18:09:04,1437329344,1
2015-07-19 18:09:07,1437329347,1
2015-07-19 18:09:15,1437329355,1
2015-07-19 18:09:22,1437329362,1
2015-07-19 18:09:26,1437329366,1
2015-07-19 18:09:27,1437329367,2
2015-07-19 18:09:28,1437329368,1
2015-07-19 18:09:31,1437329371,1
2015-07-19 18:09:34,1437329374,1
2015-07-19 18:09:39,1437329379,2
2015-07-19 18:09:42,1437329382,1
2015-07-19 18:09:43,1437329383,2
2015-07-19 18:09:47,1437329387,2
2015-07-19 18:09:48,1437329388,1
2015-07-19 18:09:50,1437329390,2
